hand_direction_x,hand_direction_y,hand_direction_z,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_direction_x,index_direction_y,index_direction_z,middle_direction_x,middle_direction_y,middle_direction_z,ring_direction_x,ring_direction_y,ring_direction_z,pinky_direction_x,pinky_direction_y,pinky_direction_z,label
-0.0185531,0.176085,-0.9842,0.402801,-0.372935,-0.835865,0.0584293,-0.0991766,-0.993353,0.0696095,-0.78835,0.611277,-0.0733134,-0.77216,0.631185,-0.306186,-0.760399,0.572751,d
-0.0498817,0.18861,-0.980784,0.408466,-0.364209,-0.836963,0.0508264,-0.0564058,-0.997113,0.0845944,-0.772321,0.629575,-0.0807439,-0.749334,0.657251,-0.319939,-0.73849,0.593525,d
0.000589815,0.154607,-0.987976,0.432564,-0.383598,-0.81593,0.0587198,-0.106174,-0.992612,0.07043,-0.75754,0.648979,-0.0664296,-0.765625,0.639848,-0.303012,-0.772547,0.557992,d
-0.0327644,0.120308,-0.992196,0.420276,-0.40172,-0.813627,0.0676294,-0.111907,-0.991415,0.0878393,-0.682099,0.725965,-0.0402187,-0.72152,0.691225,-0.266976,-0.784531,0.559673,d
0.0552844,0.0282238,-0.998072,0.473427,-0.47872,-0.739388,0.11648,-0.196313,-0.973598,0.0417609,-0.867079,0.496417,-0.136151,-0.728361,0.67153,-0.34586,-0.715329,0.607194,d
-0.069879,0.13881,-0.987851,0.411382,-0.409712,-0.814187,0.032306,-0.0888062,-0.995525,0.100084,-0.789832,0.605102,-0.0592081,-0.719517,0.691946,-0.307815,-0.725453,0.615603,d
0.0261903,0.0224602,-0.999405,0.423711,-0.481934,-0.766947,0.101891,-0.26046,-0.960093,0.0891559,-0.976667,0.195377,-0.0698261,-0.799467,0.596638,-0.281499,-0.762502,0.582537,d
-0.0200971,0.120565,-0.992502,0.489154,-0.408527,-0.770606,0.119302,-0.182002,-0.976034,-0.0186888,-0.994121,-0.106647,-0.144276,-0.744691,0.651628,-0.383658,-0.715892,0.583357,d
-0.0205084,0.122538,-0.992252,0.530591,-0.376125,-0.759607,0.167339,-0.121871,-0.978338,-0.158302,-0.259313,-0.952732,-0.153496,-0.732453,0.663288,-0.384871,-0.707866,0.592284,d
0.0232411,0.059677,-0.997947,0.448173,-0.442802,-0.776574,0.107178,-0.227027,-0.967973,0.06387,-0.820062,0.568699,-0.106806,-0.763797,0.636558,-0.316602,-0.739264,0.59435,d
-0.00744387,0.0607209,-0.998127,0.457633,-0.442716,-0.771086,0.101522,-0.195848,-0.975365,0.0858934,-0.780184,0.619626,-0.0917485,-0.744795,0.660956,-0.315262,-0.719817,0.618444,d
-0.02116,0.0919365,-0.99554,0.492635,-0.4187,-0.76289,0.140555,-0.197601,-0.970154,-0.0749716,-0.842512,-0.533434,-0.151991,-0.791285,0.592256,-0.34535,-0.770749,0.535425,d
-0.0679106,0.117506,-0.990747,0.445804,-0.399855,-0.800859,0.0494841,-0.130599,-0.9902,0.0294478,-0.747593,0.663504,-0.116531,-0.75261,0.648073,-0.359002,-0.743684,0.56396,d
-0.0457914,0.0810869,-0.995655,0.418237,-0.425974,-0.802261,0.030268,-0.147171,-0.988648,0.0574828,-0.824986,0.562222,-0.0878879,-0.793271,0.602492,-0.314334,-0.781587,0.53881,d
0.0101377,0.093346,-0.995582,0.436456,-0.405346,-0.803244,0.0536385,-0.136819,-0.989143,0.129305,-0.865052,0.484733,-0.032122,-0.814819,0.578825,-0.20386,-0.900491,0.384131,d
-0.01505,0.0900606,-0.995823,0.438923,-0.420999,-0.793792,0.0601303,-0.132393,-0.989372,0.0573666,-0.805984,0.589151,-0.0850527,-0.807159,0.584175,-0.312368,-0.795459,0.519299,d
-0.00163193,0.0511267,-0.998691,0.448303,-0.454803,-0.769531,0.0492539,-0.15647,-0.986454,0.0716063,-0.833659,0.547617,-0.0853778,-0.788302,0.609337,-0.30227,-0.792407,0.529835,d
-0.00937294,0.0919377,-0.995721,0.462538,-0.429982,-0.775354,0.0526809,-0.159053,-0.985864,0.00682022,-0.834337,0.551213,-0.131166,-0.810219,0.571262,-0.363334,-0.78652,0.499374,d
-0.00781581,0.0667623,-0.997738,0.432742,-0.443807,-0.78471,0.0513336,-0.158519,-0.986021,0.0594544,-0.812678,0.579672,-0.0840686,-0.801986,0.591397,-0.307479,-0.805273,0.506943,d
0.0496606,0.0276598,-0.998383,0.472972,-0.47511,-0.742003,0.105773,-0.211826,-0.971567,0.0457735,-0.904056,0.424956,-0.100023,-0.845808,0.524026,-0.286413,-0.872659,0.395518,d
-0.0408947,0.135785,-0.989894,0.420273,-0.436143,-0.795707,0.0380074,-0.0998696,-0.994274,0.00109549,-0.711196,0.702993,-0.154985,-0.735642,0.659401,-0.388415,-0.781811,0.487755,d
0.0172216,0.095988,-0.995233,0.475107,-0.436511,-0.764023,0.102269,-0.168153,-0.980442,-0.0185891,-0.724499,0.689025,-0.183873,-0.78473,0.591937,-0.41193,-0.793947,0.447172,d
0.0339998,0.113031,-0.99301,0.539253,-0.39709,-0.742648,0.147518,-0.206064,-0.967355,-0.0495801,-0.762212,0.645426,-0.173026,-0.788132,0.590685,-0.407054,-0.768925,0.493012,d
-0.0180508,0.0918783,-0.995607,0.411127,-0.442872,-0.796768,0.0746231,-0.138729,-0.987515,-0.0278439,-0.849426,0.526973,-0.167066,-0.825004,0.539868,-0.3856,-0.839148,0.383592,d
0.0113905,0.0959271,-0.995323,0.489055,-0.417271,-0.76597,0.139581,-0.18362,-0.973037,-0.0175901,-0.7558,0.654567,-0.174989,-0.77592,0.606075,-0.40552,-0.776513,0.482268,d
-0.141773,0.146785,-0.978956,-0.234692,0.0379227,-0.97133,0.0543243,-0.963014,-0.263917,-0.105046,-0.969615,-0.220933,-0.162715,-0.935177,-0.314591,-0.257395,-0.850581,-0.458541,e
-0.145471,0.131076,-0.980641,-0.25968,0.0390396,-0.964905,0.0381046,-0.966322,-0.254499,-0.122067,-0.970421,-0.208287,-0.179687,-0.935218,-0.30509,-0.273135,-0.84954,-0.451308,e
-0.145958,0.149966,-0.977858,-0.101997,-0.045115,-0.993761,0.0202764,-0.978065,-0.207309,-0.145404,-0.973156,-0.178396,-0.207415,-0.935965,-0.284516,-0.302181,-0.837382,-0.455498,e
-0.0627132,0.215534,-0.974481,0.154139,-0.114447,-0.981399,0.0561049,-0.997208,-0.0492724,-0.113117,-0.98999,-0.0844097,-0.17144,-0.961086,-0.216616,-0.271381,-0.879669,-0.390556,e
-0.107355,0.181426,-0.977527,0.00814598,-0.056205,-0.998386,0.0851912,-0.994843,-0.0550441,-0.0848724,-0.991783,-0.095727,-0.147882,-0.970602,-0.189901,-0.261434,-0.898404,-0.352877,e
-0.0540704,0.137105,-0.98908,0.201895,-0.232837,-0.951328,0.100522,-0.994495,-0.0295649,-0.0672342,-0.996013,-0.0586294,-0.122834,-0.977714,-0.170255,-0.220629,-0.912093,-0.345556,e
-0.0305634,0.153465,-0.987681,0.18432,-0.228367,-0.955968,0.070289,-0.996076,0.0537751,-0.0982614,-0.994876,-0.0237926,-0.15088,-0.970564,-0.187727,-0.240535,-0.895459,-0.374562,e
-0.0358456,0.185474,-0.981995,0.192252,-0.174457,-0.965714,0.036015,-0.998964,0.0278141,-0.131671,-0.989921,-0.0521397,-0.183302,-0.95592,-0.229383,-0.272776,-0.8686,-0.413675,e
-0.0184201,0.221859,-0.974905,0.219667,-0.170992,-0.960473,-0.00313028,-0.998822,-0.04843,-0.169357,-0.980079,-0.103745,-0.218508,-0.942276,-0.253712,-0.30432,-0.851784,-0.426443,e
-0.0591859,0.227702,-0.971931,0.14636,-0.107085,-0.983418,0.0133978,-0.995534,-0.0934456,-0.153888,-0.977617,-0.14347,-0.209263,-0.941849,-0.262923,-0.304405,-0.851081,-0.427783,e
