thumb_hand_angle,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_hand_angle,index_direction_x,index_direction_y,index_direction_z,middle_hand_angle,middle_direction_x,middle_direction_y,middle_direction_z,ring_hand_angle,ring_direction_x,ring_direction_y,ring_direction_z,pinky_hand_angle,pinky_direction_x,pinky_direction_y,pinky_direction_z,label
41.451430763925885,0.402801,-0.372935,-0.835865,16.441242634054195,0.0584293,-0.0991766,-0.993353,137.87871214203687,0.0696095,-0.78835,0.611277,139.09687878298593,-0.0733134,-0.77216,0.631185,133.78194453467543,-0.306186,-0.760399,0.572751,d
42.96149361302542,0.408466,-0.364209,-0.836963,15.251764575413876,0.0508264,-0.0564058,-0.997113,140.11779555507573,0.0845944,-0.772321,0.629575,141.43724617227565,-0.0807439,-0.749334,0.657251,134.86570690594877,-0.319939,-0.73849,0.593525,d
41.663047636672246,0.432564,-0.383598,-0.81593,15.356587495240909,0.0587198,-0.106174,-0.992612,139.31057297433202,0.07043,-0.75754,0.648979,138.63930390299524,-0.0664296,-0.765625,0.639848,132.13675418767028,-0.303012,-0.772547,0.557992,d
41.82568191654349,0.420276,-0.40172,-0.813627,14.534123394356175,0.0676294,-0.111907,-0.991415,143.633379830119,0.0878393,-0.682099,0.725965,140.47231563415386,-0.0402187,-0.72152,0.691225,129.86221462176925,-0.266976,-0.784531,0.559673,d
41.35555563797503,0.473427,-0.47872,-0.739388,13.438564091518687,0.11648,-0.196313,-0.973598,121.17296343445858,0.0417609,-0.867079,0.496417,134.29232548410928,-0.136151,-0.728361,0.67153,130.1906709357621,-0.34586,-0.715329,0.607194,d
44.05470696706409,0.411382,-0.409712,-0.814187,14.339523278251384,0.032306,-0.0888062,-0.995525,135.59246909094978,0.100084,-0.789832,0.605102,141.19452796351027,-0.0592081,-0.719517,0.691946,133.41788987465742,-0.307815,-0.725453,0.615603,d
39.93586195089449,0.423711,-0.481934,-0.766947,16.993076898125302,0.101891,-0.26046,-0.960093,102.40742270997796,0.0891559,-0.976667,0.195377,128.0295425683102,-0.0698261,-0.799467,0.596638,127.35044683730312,-0.281499,-0.762502,0.582537,d
45.110357732323315,0.489154,-0.408527,-0.770606,19.200246406811562,0.119302,-0.182002,-0.976034,90.78115192238931,-0.0186888,-0.994121,-0.106647,137.1912824665781,-0.144276,-0.744691,0.651628,131.1158754086109,-0.383658,-0.715892,0.583357,d
45.83312954299785,0.530591,-0.376125,-0.759607,17.75071310363626,0.167339,-0.121871,-0.978338,23.53439986858218,-0.158302,-0.259313,-0.952732,138.1380055289465,-0.153496,-0.732453,0.663288,131.80074916087077,-0.384871,-0.707866,0.592284,d
40.62644951657293,0.448173,-0.442802,-0.776574,17.267662960801516,0.107178,-0.227027,-0.967973,127.95091034056667,0.06387,-0.820062,0.568699,133.10322185776025,-0.106806,-0.763797,0.636558,130.13607567705031,-0.316602,-0.739264,0.59435,d
42.323630940352274,0.457633,-0.442716,-0.771086,16.077006872060704,0.101522,-0.195848,-0.975365,131.79580871243445,0.0858934,-0.780184,0.619626,134.76976182133234,-0.0917485,-0.744795,0.660956,131.19676393110993,-0.315262,-0.719817,0.618444,d
44.718727534368014,0.492635,-0.4187,-0.76289,19.14599312226415,0.140555,-0.197601,-0.970154,62.92323228682348,-0.0749716,-0.842512,-0.533434,131.2347948999335,-0.151991,-0.791285,0.592256,126.6260060582016,-0.34535,-0.770749,0.535425,d
44.259301412771066,0.445804,-0.399855,-0.800859,15.776192950715187,0.0494841,-0.130599,-0.9902,138.34939427763362,0.0294478,-0.747593,0.663504,136.2694969643163,-0.116531,-0.75261,0.648073,128.44400406188893,-0.359002,-0.743684,0.56396,d
41.83379136090349,0.418237,-0.425974,-0.802261,13.824518225484736,0.030268,-0.147171,-0.988648,128.99899374390506,0.0574828,-0.824986,0.562222,131.31309509624833,-0.0878879,-0.793271,0.602492,125.83487241991673,-0.314334,-0.781587,0.53881,d
39.978772698902546,0.436456,-0.405346,-0.803244,13.456925343599803,0.0536385,-0.136819,-0.989143,124.19627264543658,0.129305,-0.865052,0.484733,130.74196424885557,-0.032122,-0.814819,0.578825,117.94073188770274,-0.20386,-0.900491,0.384131,d
41.75880311803366,0.438923,-0.420999,-0.793792,13.490068538060996,0.0601303,-0.132393,-0.989372,131.31059586815283,0.0573666,-0.805984,0.589151,130.7793540493879,-0.0850527,-0.807159,0.584175,125.73717171362559,-0.312368,-0.795459,0.519299,d
