pinchStrength,grabStrength,thumb_index,index_middle,middle_ring,ring_pinky,thumb_center_distance,index_center_distance,middle_center_distance,ring_center_distance,pinky_center_distance,palm_direction,thumb_direction_x,thumb_direction_y,thumb_direction_z,index_direction_x,index_direction_y,index_direction_z,middle_direction_x,middle_direction_y,middle_direction_z,ring_direction_x,ring_direction_y,ring_direction_z,pinky_direction_x,pinky_direction_y,pinky_direction_z,label
1.0,0.0,29.93035813618362,53.62007859811617,3.481188532560583,2.8651917519187324,0.5549413883566267,0.9479706558673355,0.4992343566458724,0.4764885998864836,0.46692544210817327,1,0.402801,-0.372935,-0.835865,0.0584293,-0.0991766,-0.993353,0.0696095,-0.78835,0.611277,-0.0733134,-0.77216,0.631185,-0.306186,-0.760399,0.572751,d
1.0,0.0,29.377139322380554,55.559419950721654,2.697548837147533,3.6239710333352924,0.5524628961079151,0.9484565400560828,0.5038356213308629,0.47675252578176164,0.45341704025012847,1,0.408466,-0.364209,-0.836963,0.0508264,-0.0564058,-0.997113,0.0845944,-0.772321,0.629575,-0.0807439,-0.749334,0.657251,-0.319939,-0.73849,0.593525,d
1.0,0.0,29.87745693344465,56.19490972902682,0.9387321656599671,2.802862188004915,0.5621516701077931,0.9543149723683139,0.5379628451055173,0.4810982533081691,0.45059190700011464,1,0.432564,-0.383598,-0.81593,0.0587198,-0.106174,-0.992612,0.07043,-0.75754,0.648979,-0.0664296,-0.765625,0.639848,-0.303012,-0.772547,0.557992,d
1.0,0.0,29.94500268617366,60.54157794141781,4.032964341949246,4.357605077228393,0.5638031709178354,0.9529537655929541,0.49332573910141353,0.47368196694015025,0.4478724859615208,1,0.420276,-0.40172,-0.813627,0.0676294,-0.111907,-0.991415,0.0878393,-0.682099,0.725965,-0.0402187,-0.72152,0.691225,-0.266976,-0.784531,0.559673,d
1.0,0.0,27.28141517093585,44.80325640840464,8.291851814287766,3.283872488527369,0.5655676929610195,0.953641090031678,0.6492441074702212,0.48668005802554637,0.4491953206685236,1,0.473427,-0.47872,-0.739388,0.11648,-0.196313,-0.973598,0.0417609,-0.867079,0.496417,-0.136151,-0.728361,0.67153,-0.34586,-0.715329,0.607194,d
1.0,0.0,32.04026364467203,53.67125848505709,3.8687344295916963,3.0456534991900845,0.5561880037285232,0.9499742306026573,0.5168057666931749,0.4793205701707782,0.44892342194892315,1,0.411382,-0.409712,-0.814187,0.032306,-0.0888062,-0.995525,0.100084,-0.789832,0.605102,-0.0592081,-0.719517,0.691946,-0.307815,-0.725453,0.615603,d
1.0,0.0,28.513073695200355,37.627628153405176,11.118448073516063,2.3368408750317022,0.5648267354771768,0.9527093899466484,0.6389931636035628,0.4946903745036501,0.45227732933295217,1,0.423711,-0.481934,-0.766947,0.101891,-0.26046,-0.960093,0.0891559,-0.976667,0.195377,-0.0698261,-0.799467,0.596638,-0.281499,-0.762502,0.582537,d
1.0,0.0,25.514994004081384,23.6542571097562,30.255583041614724,0.7545957688845265,0.5533526434527215,0.9478509970758277,0.6922433466810999,0.4867664793121354,0.4499877506846928,1,0.489154,-0.408527,-0.770606,0.119302,-0.182002,-0.976034,-0.0186888,-0.994121,-0.106647,-0.144276,-0.744691,0.651628,-0.383658,-0.715892,0.583357,d
1.0,0.0,26.78174259798948,18.314232070639644,51.112343864112745,1.8703666099944272,0.5422798463063947,0.9371734062799327,0.9532621648541949,0.476306436877926,0.446481447572197,1,0.530591,-0.376125,-0.759607,0.167339,-0.121871,-0.978338,-0.158302,-0.259313,-0.952732,-0.153496,-0.732453,0.663288,-0.384871,-0.707866,0.592284,d
1.0,0.0,24.94610486831336,43.240274843276374,7.131142851234696,2.87639790457275,0.54784304316801,0.9422719561329159,0.6123251466582776,0.4801454906369659,0.4483214798561075,1,0.448173,-0.442802,-0.776574,0.107178,-0.227027,-0.967973,0.06387,-0.820062,0.568699,-0.106806,-0.763797,0.636558,-0.316602,-0.739264,0.59435,d
