thumb_meta_proxi,thumb_proxi_inter,index_meta_proxi,index_proxi_inter,middle_meta_proxi,middle_proxi_inter,ring_meta_proxi,ring_proxi_inter,pinky_meta_proxi,pinky_proxi_inter,palm_direction,label
68.378955518854,35.87127340671274,24.096697020807255,8.575134943682512,60.19282978245936,76.73122725910444,66.19553308012756,75.15609472148849,67.26031276776834,74.8503359515745,1,d
68.01313926700828,38.922404368064456,27.0445673413883,3.9839120147121263,64.64876573090089,74.46456032506335,69.74394038235762,74.12708479573375,70.17246629738852,73.5470602456297,1,d
67.6170034080252,36.46820678354592,22.79310226853593,7.674161844115113,62.878572009496295,75.4796713830661,64.7658949532857,76.1195094589389,64.60299425030367,75.88508465593132,1,d
69.62202224008077,34.32367507260531,25.364591890319275,6.035176523066041,67.52927197455611,75.18912925304886,65.98362237045686,76.83094217141624,63.995662861347206,74.07478060113354,1,d
74.66164566820419,30.13901106066996,23.762769655261216,6.463601288739913,50.34423647079755,69.84047697636281,60.19872934104401,76.43920230438306,59.66951121554458,78.58150364971982,1,d
66.79618661482056,40.50643756651624,26.663723134495427,4.707154345237834,61.06518445809129,73.53575841121638,67.23073170133443,76.36953283733511,66.9043545252398,75.40391826847318,1,d
72.24233187834486,30.002796207419184,23.07047275409673,10.726114140680718,42.469914551372014,58.897595569160536,54.87360287984187,75.33593880734587,55.331093911262954,79.74292685136653,1,d
78.33145543323772,32.65085266946431,28.758558808998963,8.862904165352878,27.059341976571446,62.46797424222451,58.49795977634959,81.30772564049886,59.4278890559341,80.81260929181474,1,d
80.21240622727493,33.20672013117775,31.136584405283752,7.975372389578325,9.189108296478741,11.545177886313153,61.22362836951294,80.01811786772615,61.804353360372694,79.71417366671737,1,d
75.36037889972847,29.462007967539012,24.504711542325605,8.54474192479108,50.41636793985683,76.56689368059658,58.71790077340476,76.73465507792822,58.78908214535552,79.37983302608026,1,d
75.76574623313141,30.973315760355316,26.325721095138043,7.09064302574924,45.127664949544915,85.70013537215009,60.41670216657351,76.69085404609781,60.892154223514076,78.5752551427878,1,d
80.35937746485537,31.305990171768375,29.417362180206887,11.28574793491778,18.25339382226923,43.3084658247765,54.9786313045196,78.9522971761012,52.59588347226982,82.04099717283589,1,d
79.53064481227433,32.21989761033139,28.116199635704458,5.582317462444676,58.03061143239028,79.60895860747951,57.35703745893297,81.47976972326832,56.998697997381434,80.26893772710245,1,d
76.78550615493579,30.262850979156593,24.39622501165181,7.895315022275642,54.699338886532935,73.55444394509044,55.14341721039326,78.599989430535,55.73133631596729,78.30420787332109,1,d
70.96640532226361,31.448698699890382,21.056000124334634,8.851717073657792,53.8315785360328,69.40772651920605,57.71674592236206,75.29012812018142,51.67779459988329,73.51109795795487,1,d
73.54842339002766,32.371271519040846,24.205156432408934,7.023977550618682,56.427989884451925,74.13085850735762,57.39785649746808,75.78864409439471,57.02471311338786,76.92038052545892,1,d
73.15362245135412,32.16800354642048,22.756412918108005,7.058229263361053,52.74499820253322,72.52285337445923,57.03124262397445,75.79457947750976,56.08640244299024,76.56412533468983,1,d
