0.492532,0,0.887984,-0.0424672,-0.45791,-0.29859,-0.74141,0.600961,-0.399497,-0.796125,0.454519,0.914706,0.263005,-0.306824,0.75356,0.34652,-0.558633,0.6340082631635656,0.006732637570966056,1.3741546637864623,0.9813116353041045,1.381467018246328,0.9727687109589461,0.1925519754589748,0.05229327035708483,0.2955578680834838,0.0555133967981184,1.1377000150420113,0.1502807908809748,1.5087335633676555,0.3031317839978956,g
0.492498,0,0.887269,-0.0428371,-0.459258,-0.297539,-0.740948,0.602052,-0.398723,-0.795718,0.455908,0.915502,0.263669,-0.303867,0.75176,0.34931,-0.55932,0.6335212169994536,0.0061530251589371095,1.3741489276966499,0.9813062882166984,1.381525513217524,0.972758569895157,0.19714608021748894,0.05228390529041529,0.2965429867488363,0.05505608113234657,1.1378829830439896,0.15030200100458288,1.509458865872147,0.30792503123649023,g
0.492731,0,0.886514,-0.0450529,-0.460504,-0.297342,-0.739766,0.6036,-0.399038,-0.794399,0.457929,0.917228,0.264672,-0.297727,0.749772,0.35194,-0.560339,0.6326282233814379,0.0037861962871464333,1.37413636006506,0.9812965683743855,1.3816369140632396,0.9727375845123203,0.20562278841450343,0.05093472812980574,0.29799593508862054,0.05437356006406504,1.1381534838308787,0.15034300207444826,1.5108651597256515,0.31645371240819575,g
0.492057,0,0.886945,-0.0485308,-0.459319,-0.297989,-0.73562,0.60833,-0.399873,-0.790916,0.4632,0.917603,0.264761,-0.29649,0.749106,0.350583,-0.562077,0.6321495679799296,0.001442424084952962,1.3741256314280172,0.9812866261803668,1.381740789012389,0.9727177220591463,0.2109263602859013,0.05206334978281225,0.29901571511607106,0.053912494785289755,1.1388649311765995,0.1503735144997279,1.5152566270135903,0.31843069800503465,g
0.491753,0,0.8855,-0.0508333,-0.461851,-0.29456,-0.730875,0.615675,-0.396898,-0.787487,0.471525,0.915912,0.26463,-0.301788,0.745878,0.349317,-0.567137,0.63192878509919,0.0011120931290770168,1.3741136689622064,0.9812769378597099,1.3818409597134893,0.9726997485153518,0.21243280543900991,0.05334772064939415,0.29979816867783693,0.053574932864625516,1.1391228499357278,0.15041174624165368,1.51763310251564,0.318161097961,g
0.491609,0,0.884961,-0.0517463,-0.462781,-0.294103,-0.72979,0.617179,-0.396612,-0.786574,0.473287,0.915744,0.264942,-0.302024,0.745145,0.349107,-0.568228,0.6318584093788587,0.0014483228184999004,1.374108605867542,0.9812718868938729,1.3818865776537546,0.9726910935130487,0.21440098635906024,0.05410558485526101,0.300100637997534,0.0534343401218612,1.1392120028458568,0.15042927459028932,1.5194582099642853,0.31867190509930743,g
0.490758,0,0.883974,-0.0534538,-0.46447,-0.294062,-0.728038,0.619265,-0.396882,-0.784932,0.475779,0.91706,0.272992,-0.290647,0.74429,0.34849,-0.569726,0.631699611234303,0.0018423909791826767,1.3740974311957725,0.9812613075285745,1.3819780967003104,0.9726752755056723,0.22984875202171567,0.051854566042761674,0.3006442084905893,0.05319256445698763,1.1396707356903772,0.1504547464967759,1.5265877560450458,0.32891305800293325,g
0.489491,0,0.882378,-0.0567516,-0.467106,-0.294324,-0.724749,0.622987,-0.397625,-0.781925,0.480091,0.91902,0.27928,-0.278216,0.743455,0.345612,-0.572562,0.6318064065494935,0.003175694694971023,1.3740871025363781,0.9812528204975596,1.3820633507182676,0.9726591496388206,0.24775886989033297,0.05081617390677873,0.3010814215435854,0.05300837813336161,1.140288992512035,0.1504884084767904,1.5345869868308435,0.34134690487993696,g
0.487782,0,0.879932,-0.0595157,-0.471358,-0.292557,-0.72075,0.628434,-0.396563,-0.778543,0.486425,0.921973,0.281954,-0.265459,0.74115,0.342349,-0.577489,0.6323865993021399,0.004744858577294809,1.3740761924486078,0.9812449472824478,1.3821435382239102,0.9726434189774885,0.26659705461316513,0.051485910845078524,0.30143985730125555,0.052864359411609683,1.1410836051078215,0.15051487733533683,1.5397895099242365,0.35765046959555974,g
0.48717,0,0.878482,-0.0585859,-0.47417,-0.290098,-0.720769,0.629552,-0.394506,-0.778645,0.487932,0.924241,0.278809,-0.260854,0.739005,0.343165,-0.579749,0.6326602970038607,0.005136633899150094,1.374070538244155,0.9812400640265146,1.3821838288066182,0.9726364206096508,0.27176929948042855,0.0526609294546599,0.3015994647474602,0.052790746906780116,1.1413851329169182,0.15053010994799387,1.5366121312513739,0.3661204047008623,g
0.486481,0,0.876761,-0.0581368,-0.477399,-0.287203,-0.720124,0.631614,-0.392124,-0.778191,0.490569,0.92704,0.27472,-0.2552,0.73635,0.343684,-0.582812,0.6328498753094086,0.005517046616138825,1.3740613351605402,0.9812310857129206,1.3822592598028622,0.972622499396938,0.2787417496175607,0.054155999312804425,0.3018827577169124,0.05267820141303841,1.1417704301714329,0.15055867626564506,1.5330327748324863,0.37673820797415486,g
0.485838,0,0.875232,-0.0601651,-0.479947,-0.286468,-0.718052,0.6343,-0.391863,-0.776284,0.493789,0.92858,0.274092,-0.250227,0.735059,0.341805,-0.58554,0.6331578443523107,0.006258907714836769,1.374051151451456,0.981223094824417,1.38233025890073,0.9726092976107381,0.28642975950884286,0.053670190017332996,0.30212716073530965,0.05257735526757008,1.1420764587565237,0.1505803393223019,1.5335072498036173,0.38466831455852757,g
